Epoch,Loss,Accuracy
1,1.24889,30
2,1.17097,30
3,1.14897,30
4,1.13041,30
5,1.11159,30
1,1.09401,30
2,1.07502,30
3,1.05641,40
4,1.03825,40
5,1.02124,40
1,1.0053,50
2,0.989255,50
3,0.973207,50
4,0.95743,50
5,0.941569,50
1,0.924423,50
2,0.907287,50
3,0.889904,50
4,0.872248,50
5,0.854533,50
1,0.83585,50
2,0.818302,60
3,0.801647,70
4,0.785205,80
5,0.769766,90
1,0.753126,90
2,0.738087,90
3,0.723113,90
4,0.708727,90
5,0.695241,90
1,0.679636,90
2,0.667423,90
3,0.655773,90
4,0.643627,90
5,0.631354,90
1,0.616726,90
2,0.605041,90
3,0.593712,90
4,0.582482,90
5,0.571341,90
1,0.557216,90
2,0.54622,90
3,0.535484,90
4,0.524872,90
5,0.514398,90
1,0.500989,90
2,0.490947,90
3,0.481263,90
4,0.471789,90
5,0.462555,90
